"date","rate","volume","cap","liquidity"
1583950500000,7660.18223586613,15456644656,139916484116,319264081
1.583967e+12,7964.98170489349,16824020590,145486165452,271508351
1583983500000,7677.85832715029,16992276112,140243568257,282230556
1.584e+12,7403.50450678153,17995209489,135235093390,274762738
1584016500000,6171.063921909,21133372419,112725510225,112368303
1.584033e+12,6219.67222822804,25296286829,113615219068,126782130
1584049500000,5666.38847927003,24385320576,103510252903,162694073
1.584066e+12,4184.83095052615,23824475960,76447391194,42379730
1584082500000,5203.02993648123,24586036386,95049143392,57300460
1.584099e+12,5541.63583120404,25800743521,101236265855,95431088
1584115500000,5188.3539856119,25635976991,94784025882,53138183
1.584132e+12,5578.05352067089,24323719703,101905247803,91257338
1584148500000,5437.29293155141,20257849119,99335127957,111774077
1.584165e+12,5528.83264222902,20020366793,101009699061,142441369
1584181500000,5274.9431310554,20166006180,96373079131,138928601
1.584198e+12,5421.991942884,18264190921,99061419394,144411063
1584214500000,5493.66993818073,15290928035,100372645973,171083920
1.584231e+12,5203.43937108881,13336598280,95071062503,136709249
1584247500000,5291.88505829031,12591871564,96688227700,145271394
1.584264e+12,5264.34507158565,11599844681,96186228061,156223349
1584280500000,5370.11959905286,11784876179,98120607454,171154538
1.584297e+12,5339.56083746253,11071642692,97563852252,171001567
1584313500000,5377.89769798646,13052088170,98266156765,139944721
1.58433e+12,5334.91099939156,13097787259,97482427982,179874456
1584346500000,4897.82093615403,13636266866,89496902402,152067953
1.584363e+12,4812.19173920517,15182665007,87933420260,121863717
1584379500000,5093.61485606217,18647642327,93077086132,135985518
1.584396e+12,5010.96962363873,18207215395,91568389372,128153535
1584412500000,5278.93716043013,18656646567,96467033723,135318846
1.584429e+12,5319.01586662069,18135800588,97200158701,172418340
1584445500000,5317.80965795426,16354911662,97179578737,167104551
1.584462e+12,5467.62072247036,14690821784,99919128417,159245738
1584478500000,5501.73525543922,14030894300,100544074250,174012831
1.584495e+12,5390.3700898998,13250323107,98510695188,168849955
1584511500000,5295.77840253131,12195863868,96783591323,166987729
1.584528e+12,5177.13243120633,12058832630,94616428440,146361057
1584544500000,5311.21947652243,12880288130,97068309229,180244863
1.584561e+12,5357.90015531557,13382084391,97922456661,202796369
1584577500000,5449.5981616964,13760180649,99599989522,194780802
1.584594e+12,5330.80710942703,13812775435,97429962107,195627274
1584610500000,5545.07798308643,14047524858,101348149973,167242084
1.584627e+12,5881.43626370361,15570016122,107497580779,200943542
1584643500000,6283.39474604821,18285167675,114846004150,185606116
1.58466e+12,6244.25555096168,18622622770,114131566322,178104709
1584676500000,6158.70795301146,18352998706,112569171901,218147561
1.584693e+12,6536.18670762842,20602431593,119469891284,163498729
1584709500000,6582.18691582989,21326881982,120313405301,200541508
1.584726e+12,6436.0770052174,19615277207,117644729775,220262820
1584742500000,6252.94405600756,20729923757,114298189694,153235226
1.584759e+12,6304.58914700853,21162141487,115244264469,191366629
1584775500000,6142.36906020174,20986675033,112280890977,175147386
1.584792e+12,6111.63890232226,18580060194,111720832474,163050473
1584808500000,6195.98781213483,17564246784,113264361102,216868488
