"date","rate","volume","cap","liquidity"
1598733900000,11534.8170108324,5113388694,213098742641,428211609
1598750400000,11539.9899853393,5267266707,213195833484,433189976
1598766900000,11610.9757895,5698031512,214509213141,434466861
1598783400000,11595.7263620279,5562540668,214228725393,418255671
1598799900000,11630.0119857538,5696626582,214863808526,429333900
1598816400000,11650.8783466382,5860706861,215251725086,438596928
1598832900000,11715.0747097656,6054208881,216439297199,437897278
1598849400000,11688.8979103719,5768395455,215957648898,460386767
1598865900000,11639.0214577314,5934904118,215038917439,434106344
1598882400000,11739.2798293208,6419433385,216893678024,477531598
1598898900000,11742.9728830753,6553361236,216963754136,456117441
1598915400000,11689.3445466985,6657348683,215974878122,436194825
1598931900000,11688.7481576167,6968295881,215965472154,461839814
1598948400000,11882.212168368,7940987346,219542061477,455328334
1598964900000,11895.2700838266,8282958338,219785705511,474160638
1598981400000,11979.6444845175,8786566129,221346010336,452719340
1598997900000,12017.5444435041,8905072680,222049514648,419249886
1599014400000,11910.0874689639,9097264943,220066402111,423654028
1599030900000,11785.056706996,8968616193,217757937471,433998734
1599047400000,11439.6587097209,9854072670,211377929680,354184748
1599063900000,11322.0154071366,10081561012,209205653240,405740314
1599080400000,11410.4800286582,10367216861,210842849970,413033832
1599096900000,11442.8142231461,9935077394,211441671467,417330562
1599113400000,11347.2610754612,9800772724,209677526968,417605825
1599129900000,11341.0394772262,9423665397,209564683494,417854884
1599146400000,10761.6494326098,9301660365,198860075304,355890135
1599162900000,10720.713511997,10536544354,198105245441,351207943
1599179400000,10341.7563810328,12112793246,191104281989,290359478
1599195900000,10318.4320641846,12640772561,190674564075,339826430
1599212400000,10490.4912844896,13353084921,193856337635,363562143
1599228900000,10402.8105953931,11677340598,192238020604,331061052
1599245400000,10462.4571148898,12033853475,193341949263,348588370
1599261900000,10491.8798383397,11832388084,193886791849,312168684
1599278400000,10448.0346756342,9802643677,193078374801,331237570
1599294900000,10403.3739161462,9218240405,192254089886,335210231
1599311400000,10199.0902257308,9745595987,188481410773,253783167
1599327900000,10155.9965436438,9088122349,187686878525,290940868
1599344400000,10112.9966604421,11693823627,186893487608,265870472
1599360900000,10177.8604564098,12342556044,188094168938,303265728
1599377400000,10200.3718840623,12991763111,188511603936,310947383
1599393900000,10284.2669679137,13160817728,190064494271,308007184
1599410400000,10268.6125842339,11807283898,189777689692,329182897
1599426900000,10318.0652008046,8965192320,190692929922,334210232
1599459900000,10155.91872726,7238822894,187699079846,346521512
1599476400000,10133.4833468858,6847878778,187286461609,350488452
1599492900000,10148.2725141458,7743912481,187562655968,321834233
1599509400000,10145.1941949936,7874134810,187507973433,338461303
1599525900000,10353.4573642022,8140775805,191359711830,332487937
1599542400000,10309.7604366939,8034516465,190553425775,353421393
1599558900000,10114.9218471491,8014348456,186954474753,341729333
1599575400000,10130.0695057456,7774480091,187235715746,331845166
1599591900000,10004.1735830635,7613423188,184911262055,352772242
1599608400000,10128.1732809897,8159308609,187205356861,311180228
1599624900000,10025.0827084822,8013290814,185301433290,336182159
1599641400000,10189.7287187487,7916149600,188346945637,323384295
1599657900000,10246.9859480772,7407049060,189407265933,338491793
1599674400000,10277.8990428687,7165513691,189980468175,350606150
1599690900000,10252.0034775484,6648700166,189503670881,319046199
1599707400000,10379.7389575683,6766722772,191865582229,354474167
1599723900000,10309.3426761811,6845878624,190566457090,365789717
1599740400000,10314.397371688,6795343169,190661243469,364731303
1599756900000,10349.6097192941,7243013786,191314150200,364366062
1599773400000,10332.2807523325,7394296575,190996208300,351538819
1599789900000,10315.6422710816,7214138956,190690702663,369415368
1599806400000,10287.4738467061,7312419297,190171474200,357623998
1599822900000,10312.1785504336,7291388962,190629571476,363549273
1599839400000,10335.2270392001,6865908695,191058298950,366363766
1599855900000,10330.5752314252,6474680723,190973782322,381176538
1599872400000,10371.4026654451,6525042502,191730219748,352032242
1599888900000,10383.3957994905,6180139821,191954203957,369064100
1599905400000,10376.0558561709,5933563239,191820193915,360288307
1599921900000,10367.2864774441,5893523589,191660284291,377105780
1599938400000,10465.3473235899,6019583785,193475230674,364085873
1599954900000,10456.2492419377,6187387306,193309447785,352820163
1599971400000,10556.9918843308,6399770045,195173897111,355060468
1599987900000,10566.2635805201,6510041108,195348024450,365653633
1600004400000,10356.0390201183,6947992211,191463350379,356203720
1600020900000,10305.5786742181,7150578405,190532372563,335737722
1600037400000,10332.9864454291,6978892467,191041089241,359859315
1600053900000,10378.1114283839,7076980629,191877197214,365937944
1600070400000,10401.8984918381,7053145801,192319203342,350734283
1600086900000,10480.9745097742,6909150163,193783450417,393079867
1600103400000,10695.5784828393,7545968551,197753352811,396333478
1600119900000,10706.7769971626,7558361371,197962953289,368195992
1600136400000,10747.7743866084,7602923020,198722446966,375084054
1600152900000,10747.4335643571,7728265145,198718026087,393540073
1600169400000,10845.052778995,7859682563,200524819828,375369370
1600185900000,10815.3234148815,7517791917,199977082024,358622411
1600202400000,10864.3532758606,7525472914,200886509421,369133634
1600218900000,10718.1151553718,7604515968,198184176448,337092635
1600235400000,10796.9318627418,7586852628,199643562186,368265808
1600251900000,10901.857241728,7684700085,201585620851,358252333
1600268400000,10901.797550624,7294579785,201587046323,381852486
1600284900000,11002.7122667613,7655038457,203455069490,389108741
1600301400000,10954.313295436,7554078253,202561815754,360029204
1600317900000,10927.0894427498,7875543279,202061006203,375431529
1600334400000,10900.4445202992,7712417326,201570202536,370355034
1600350900000,10829.1568156125,7731659469,200254662937,360308376
1600367400000,10904.2579886237,7502333348,201645278886,372269833
